'CSV'
contact#0;Гусева;Вероника;commentary for contact#0;89181318;89072053;89792006;
contact#1;Ширяева;Антонина;commentary for contact#1;89448738;89697362;
contact#2;Давыдов;Савелий;commentary for contact#2;89796310;89414854;89388587;
contact#3;Крылова;Агния;commentary for contact#3;89623193;89616959;89648582;
contact#4;Белоусова;Алевтина;commentary for contact#4;89787670;89737227;
contact#5;Петрова;Олимпиада;commentary for contact#5;89949747;89805327;
contact#6;Рябова;Агриппина;commentary for contact#6;89990727;89612082;89988420;
contact#7;Меркушева;Марина;commentary for contact#7;89232296;89646812;89050728;89356674;
contact#8;Громов;Тит;commentary for contact#8;89275024;
contact#9;Никифоров;Демьян;commentary for contact#9;89279382;89720825;89807202;89268542;
'/CSV
