CSV
contact#0;Лаврентьев;Демьян;commentary for contact#0;30658;31041;30800;30549;
contact#1;dad;sds;ad;1213;
contact#3;Большакова;София;commentary for contact#3;31606;30875;30408;
contact#4;Шашков;Фока;commentary for contact#4;30637;30491;31534;
contact#5;Мухин;Александр;commentary for contact#5;31232;
contact#6;Шаров;Поликарп;commentary for contact#6;31620;30521;31459;31451;
contact#7;Харитонов;Потап;commentary for contact#7;30808;30843;31677;31701;
contact#8;Громов;Самуил;commentary for contact#8;30589;31369;
contact#9;Харитонова;Милица;commentary for contact#9;31727;31777;30780;30688;
/CSV
